Age,Education Level,Internet Connection,Marital Status,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,Theater Freq,TV Movie Freq,TV Signal,Home Ownership,Female,Male
35,2,1,1,2.0,3,2,2,2,2,1,1,1,2,2,2,2,Own,0,1
23,3,2,2,1.0,1,1,0,1,2,2,5,2,1,1,1,2,Rent,1,0
36,1,0,1,2.5,3,2,2,1,2,1,1,2,1,2,4,3,Own,0,1
25,2,2,2,1.0,1,1,0,1,2,2,1,3,2,3,1,2,Rent,1,0
31,4,0,1,2.5,2,1,0,1,1,2,1,2,1,2,2,2,Rent,0,1
45,3,0,1,3.0,4,3,2,2,2,2,1,3,2,2,4,2,Own,0,1
26,2,1,2,2.0,3,1,0,1,2,3,4,2,1,1,5,4,Own,0,1
23,3,4,2,1.0,1,1,0,1,2,2,5,3,2,1,2,2,Rent,1,0
37,5,1,1,1.0,1,2,0,1,2,2,1,3,2,1,5,4,Own,0,1
28,2,0,1,2.0,4,3,0,2,2,2,1,2,1,1,2,3,Own,1,0
52,1,2,1,4.0,4,2,2,4,2,2,1,2,1,2,1,3,Own,0,1
29,2,0,1,2.5,3,2,1,2,2,2,1,1,1,2,1,2,Own,0,1
48,3,4,2,2.0,2,1,0,0,2,3,1,1,3,2,1,4,Own,0,1
39,2,1,1,2.0,4,2,3,2,2,2,1,3,2,1,2,2,Own,0,1
29,2,1,2,1.0,1,2,0,2,1,2,1,3,2,3,4,1,Rent,1,0
26,3,0,1,1.0,1,1,0,1,1,2,1,2,2,1,1,2,Own,0,1
25,3,0,1,2.5,2,1,0,2,1,3,1,2,1,2,2,2,Own,0,1
34,5,1,2,2.5,3,0,0,1,2,2,1,1,1,1,2,3,Own,0,1
28,2,2,2,1.0,2,1,0,1,1,2,1,3,2,1,1,3,Rent,0,1
45,5,2,2,1.0,1,1,0,1,2,3,4,3,2,2,4,1,Own,1,0
30,1,2,1,2.5,4,2,0,2,2,2,1,2,1,1,1,1,Own,0,1
27,3,0,2,2.0,3,1,0,2,2,1,1,3,2,2,2,2,Rent,0,1
22,2,2,2,3.5,4,1,0,4,2,2,1,2,2,1,5,2,Rent,1,0
29,2,2,0,2.0,2,1,0,1,3,2,1,2,1,1,1,2,Own,1,0
35,3,1,4,3.0,4,2,1,3,3,1,1,2,1,1,3,2,Own,0,1
35,3,2,0,2.0,3,1,0,3,2,2,4,1,3,1,2,1,Own,1,0
24,2,1,2,2.0,2,1,0,1,2,2,1,3,2,3,2,2,Rent,0,1
24,2,1,2,2.0,2,1,0,2,2,2,1,2,1,1,1,2,Rent,0,1
26,3,0,1,2.0,2,2,0,2,1,2,1,2,1,3,1,2,Rent,0,1
28,5,1,1,2.0,3,2,3,2,4,4,1,3,2,2,2,3,Own,0,1
35,1,2,1,2.5,4,2,2,1,1,2,1,3,2,2,4,2,Own,1,0
34,3,0,1,3.0,4,2,2,2,2,1,1,2,2,1,2,2,Own,0,1
34,2,0,1,3.5,4,2,1,4,1,1,1,3,2,1,2,2,Own,0,1
29,2,1,2,1.5,2,1,0,3,2,2,1,3,2,1,1,2,Rent,0,1
21,5,2,2,2.0,2,1,0,1,2,2,1,1,3,2,1,2,Rent,0,1
30,2,1,1,1.5,2,1,0,3,1,2,1,1,3,2,5,1,Own,0,1
38,5,4,2,1.0,1,1,0,1,1,4,1,2,4,3,3,2,Rent,0,1
30,2,0,1,2.5,4,2,1,2,1,2,5,1,3,2,1,2,Own,1,0
41,6,0,1,2.5,4,2,2,3,2,2,1,3,2,1,2,2,Own,0,1
36,2,0,1,3.5,4,2,4,2,2,2,1,2,1,1,2,1,Own,0,1
21,2,1,2,2.0,2,1,0,1,2,1,1,1,2,1,4,3,Rent,0,1
25,5,5,1,2.5,4,2,1,3,2,2,1,1,1,2,4,3,Own,0,1
25,3,2,2,1.0,1,2,0,2,2,1,1,1,2,3,3,2,Rent,1,0
46,3,1,1,2.5,4,2,1,1,2,3,4,1,3,2,1,2,Own,1,0
25,3,1,2,1.0,1,2,0,1,2,4,1,2,4,3,5,4,Rent,0,1
36,9,0,1,1.0,1,2,0,1,4,3,4,3,2,3,4,2,Rent,0,1
34,3,0,1,2.5,3,2,0,4,1,2,1,3,2,2,1,3,Own,1,0
23,2,4,2,2.0,2,1,0,1,2,2,5,2,1,1,4,2,Rent,0,1
39,2,2,2,1.0,1,1,0,1,2,1,1,3,2,2,2,3,Rent,0,1
35,2,3,1,2.5,4,2,3,3,3,3,1,2,1,1,2,3,Own,0,1
28,3,0,2,1.0,1,2,0,2,1,2,1,2,1,1,1,2,Rent,0,1
28,3,2,1,2.5,3,1,0,1,2,2,1,1,2,4,2,2,Own,1,0
55,5,2,0,1.5,3,1,0,1,1,1,4,1,1,1,2,2,Rent,1,0
23,2,1,2,1.5,2,1,0,1,1,2,1,2,2,1,5,2,Rent,0,1
46,4,0,0,2.5,3,2,0,1,2,2,1,3,2,2,1,2,Own,1,0
27,5,3,1,3.0,4,2,0,2,1,1,1,3,2,1,4,3,Own,0,1
25,4,1,2,1.5,3,1,0,3,2,1,1,3,2,3,3,3,Rent,0,1
37,2,1,1,3.0,3,2,2,1,2,2,4,3,2,2,1,2,Own,0,1
41,5,1,1,1.5,2,1,1,1,2,1,1,1,3,2,5,4,Own,0,1
35,2,0,1,2.0,3,1,2,5,2,1,1,2,2,2,2,2,Own,0,1
31,3,2,1,2.0,2,1,0,3,2,2,1,2,1,1,2,2,Rent,0,1
34,2,2,1,4.0,4,2,2,2,2,2,4,2,1,2,4,2,Own,0,1
39,2,1,1,2.0,3,1,0,1,1,2,1,2,1,3,3,3,Own,0,1
44,2,4,4,1.0,2,1,1,1,2,2,4,2,2,1,4,4,Rent,0,1
26,2,1,2,2.0,2,1,0,3,4,2,3,2,3,1,2,2,Rent,0,1
47,3,0,1,4.0,3,5,2,4,1,1,1,2,2,1,4,3,Own,0,1
42,2,0,1,4.0,4,2,2,3,1,1,1,2,2,2,5,3,Own,0,1
46,2,1,1,3.0,4,2,3,2,1,1,1,3,2,1,4,1,Own,0,1
47,2,0,1,2.5,3,2,2,2,2,2,1,2,1,2,4,1,Own,0,1
35,3,0,1,1.0,3,2,2,3,2,2,1,2,2,2,2,2,Own,0,1
41,2,0,1,2.5,4,2,3,4,2,2,1,2,1,2,2,2,Own,0,1
33,9,1,1,3.0,3,1,1,4,1,2,1,3,2,1,3,2,Own,0,1
25,8,4,2,1.0,1,1,0,1,2,3,1,1,3,1,2,2,Rent,0,1
34,2,1,2,2.0,2,1,0,1,3,1,1,2,2,1,2,2,Rent,0,1
48,4,0,1,2.5,4,6,3,4,2,1,1,3,2,1,2,3,Own,0,1
26,2,2,2,1.0,2,1,0,2,1,1,1,2,2,1,2,1,Rent,0,1
49,2,1,1,3.0,3,2,2,4,2,1,1,2,1,2,1,2,Own,0,1
40,2,0,1,3.0,4,2,3,2,2,1,1,1,2,1,2,2,Own,0,1
36,2,0,1,3.5,3,2,2,4,1,4,1,3,2,1,1,3,Own,0,1
32,3,0,1,2.5,3,1,0,2,1,2,1,3,2,3,3,2,Own,0,1
49,1,1,1,2.5,2,2,5,3,2,1,1,2,2,1,2,2,Own,0,1
